Country,Location,2011 [4],2012 [5],2013 [6],2014 [7],2015 [8],2016 [9],2017 [10],2018 [11],2019 [12],2020 [13],2021 [14],2023 [15],Main article
Ethiopia,Horn of Africa,2,2,2,2,2,2,2,2,2,2,2w,2,Human trafficking in Ethiopia
Fiji,Melanesia,2,2,2,2,2,2,2,2w,2w,2w,2,2,Human trafficking in Fiji
Finland,Northern Europe,1,1,1,1,1,1,1,1,1,1,1,1,Human trafficking in Finland
France,Western Europe,1,1,1,1,1,1,1,1,1,1,1,1,Human trafficking in France
Gabon,Central Africa,2,2,2,2,2w,2w,2w,3,2w,2,2,2w,Human trafficking in Gabon
Gambia,West Africa,2w,2w,2w,3,3,3,2w,2w,3,2w,2w,2,Human trafficking in the Gambia
Georgia,Eurasia,1,1,2,2,2,1,1,1,1,1,1,1,Human trafficking in Georgia
Germany,Western Europe,1,1,1,1,1,1,1,1,2,2,2,1,Human trafficking in Germany
Ghana,West Africa,2,2,2,2,2w,2w,2w,2,2,2,2,2,Human trafficking in Ghana
Greece,Southeast Europe,2,2,2,2,2,2,2,2,2,2,2,2,Human trafficking in Greece
Guatemala,Central America,2,2,2,2,2,2,2w,2w,2,2,2,2,Human trafficking in Guatemala
Guinea,West Africa,2w,2,2w,2w,2w,2w,3,2w,2,2w,2w,2,Human trafficking in Guinea
Guinea-Bissau,West Africa,3,2w,3,3,3,3,3,2w,2w,2w,3,3,Human trafficking in Guinea-Bissau
Guyana,South America,2,2,2w,2w,2w,2,1,1,1,1,1,1,Human trafficking in Guyana
Haiti,Caribbean Sea,-,2w,2w,2w,2w,3,2w,2w,2,2,2w,2w,Human trafficking in Haiti
Honduras,Central America,2,2,2w,2,2,2,2,2,2,2,2,2,Human trafficking in Honduras
Hong Kong (China),Asia,2,2,2,2,2,2w,2w,2w,2,2w,2w,2,Human trafficking in Hong Kong
Hungary,Central Europe,2,2,2,2,2,2,2w,2w,2w,2,2,2,Human trafficking in Hungary
Iceland,Western Europe / North Atlantic,2,1,1,1,1,1,2,2,2,2,2,1,Human trafficking in Iceland
India,South Asia,2,2,2,2,2,2,2,2,2,2,2,2,Human trafficking in IndiaSee Child trafficking in India
Indonesia,Southeast Asia,2,2,2,2,2,2,2,2,2,2,2,2,Human trafficking in Indonesia
Iran,Central / Western Asia,3,3,3,3,3,3,3,3,3,3,3,3,Human trafficking in Iran
Iraq,Western Asia,2w,2w,2,2,2,2,2w,2w,2w,2,2,2w,Human trafficking in Iraq
Ireland,Europe,1,1,1,1,1,1,1,2,2,2w,2w,2,Human trafficking in Ireland
Israel,Western Asia,2,1,1,1,1,1,1,1,1,1,2,2,Human trafficking in Israel
Italy,Europe,1,1,1,1,1,1,1,1,2,2,2,2,Human trafficking in Italy
Jamaica,Greater Antilles,2,2w,2,2w,2w,2,2,2,2,2,2,2,Human trafficking in Jamaica
Japan,Pacific Ocean,2,2,2,2,2,2,2,1,1,2,2,2,Human trafficking in Japan
Jordan,Western Asia,2,2,2,2,2,2,2,2,2,2w,2,2,Human trafficking in Jordan
Kazakhstan,Eastern Europe / Central Asia,2,2,2,2,2,2,2,2,2w,2w,2,2,Human trafficking in Kazakhstan
Kenya,East Africa,2,2w,2w,2w,2,2,2,2,2,2,2,2,Human trafficking in Kenya
Kiribati,Pacific Ocean,2w,2,2,2,2,2w,2w,,,,,,Human trafficking in Kiribati
"Korea, Democratic People’s Republic of",Eastern Asia,3,3,3,3,3,3,3,3,3,3,3,3,
"Korea, Republic of",Eastern Asia,1,1,1,1,1,1,1,1,1,1,1,2,Human trafficking in South Korea
Kosovo,Southeast Europe,2,2,2,2,2,2,2,2,2,2,2,2,Human trafficking in Kosovo
Kuwait,Western Asia,3,3,3,3,3,2w,2w,2w,2,2,2,2w,Human trafficking in Kuwait
Kyrgyzstan,Central Asia,2,2,2,2,2,2,2,2w,2w,2w,2,2,Human trafficking in Kyrgyzstan
Laos,Southeast Asia,2,2,2,2w,2w,2w,2w,3,2w,2,2,2,Human trafficking in Laos
Latvia,Northern Europe,2,2,2,2,2,2,2,2,2,2,2,2,Human trafficking in Latvia
Lebanon,Western Asia,3,2w,2w,2w,2w,2,2,2,2,2,2,2w,Human trafficking in Lebanon
Lesotho,Southern Africa,2,2,2w,2w,2w,2,2,2,2w,3,2w,2,Human trafficking in Lesotho
Liberia,West Africa,2w,2w,2w,2,2,2,2w,2w,2w,2,2w,2,Human trafficking in Liberia
Libya,Northern Africa,3,3,3,3,3,,,,,,,,Human trafficking in Libya
Lithuania,Northern Europe,1,1,2,2,2,1,1,1,1,1,1,1,Human trafficking in Lithuania
Luxembourg,Western Europe,1,1,1,1,1,2,1,1,1,1,1,1,Human trafficking in Luxembourg
Macau (China),Asia,2,2w,2,2,2,2,2w,2w,2,2w,2w,3,Human trafficking in Macau
Madagascar,Indian Ocean,3,3,2w,2w,2,2,2w,2w,2,2,2,2w,Human trafficking in Madagascar
Malawi,Southeast Africa,2,2w,2,2,2,2,2,2,2w,2,2,2,Human trafficking in Malawi
Malaysia,Southeast Asia,2w,2w,2w,3,2w,2w,2,2w,2w,2w,3,2w,Human trafficking in Malaysia
Maldives,Indian Ocean,2w,2w,2w,2,2w,2w,2,2w,2w,2w,2,2,Human trafficking in the Maldives
Mali,Western Africa,2w,2,2w,2w,2w,2w,3,2w,2,2w,2w,2,Human trafficking in Mali
Malta,Mediterranean Sea,2w,2,2,2,2,2,2,2,2,2,2,2,Human trafficking in Malta
Marshall Islands,Pacific Ocean,2,2,2w,2w,3,3,2w,2,2w,2w,2w,2w,
Mauritania,West Africa,3,2w,3,3,3,3,3,3,3,2w,2w,2,Human trafficking in Mauritania
Mauritius,Indian Ocean,1,1,2,2,2w,2,2,2,2,2,2,2w,Human trafficking in Mauritius
Mexico,North America,2,2,2,2,2,2,2,2,2,2,2,2,Human trafficking in Mexico
Micronesia,Oceania,3,2w,2w,2,2,2,2,2,2,2,2,2,
Moldova,Eastern Europe,2,2,2,2,2,2,2w,2,2,2,2,2,Human trafficking in Moldova
Mongolia,East Asia,2,2,2,2,2,2,2,2w,2,2,2,2,Human trafficking in Mongolia
Montenegro,Southeast Europe,2,2,2,2,2,2,2w,2w,2w,2,2,2w,Human trafficking in Montenegro
Morocco,North Africa,2,2,2w,2w,2,2,2,2,2,2,2,2,Human trafficking in Morocco
Mozambique,Southeast Africa,2,2,2,2,2,2w,2w,2,2,2,2,2w,Human trafficking in Mozambique
Namibia,Southern Africa,2,2,2w,2w,2w,2,2,2,2,1,1,,Human trafficking in Namibia
Nepal,South Asia,2,2,2,2,2,2,2,2,2,2,2,,Human trafficking in Nepal
Netherlands,Western Europe,1,1,1,1,1,1,1,1,1,1,1,,Human trafficking in the Netherlands
New Zealand,Oceania,1,1,1,1,1,1,1,1,1,1,2,2,Human trafficking in New Zealand
Nicaragua,Central America,2,1,1,1,2,2,2w,2w,2w,3,3,3,Human trafficking in Nicaragua
Niger,Western Africa,2w,2w,2,2,2,2w,2w,2w,2,2,2,,Human trafficking in Niger
Nigeria,Western Africa,1,2,2,2,2,2,2w,2w,2,2w,2,,Human trafficking in Nigeria
North Macedonia,Southeast Europe,1,1,1,1,1,2,2,2,2,2,2,,Human trafficking in North Macedonia
Norway,Northern Europe,1,1,1,1,1,1,1,1,1,1,2,2,Human trafficking in Norway
Oman,Southwest Asia,2,2,2,2,2,2w,2w,2,2,2,2,,Human trafficking in Oman
Pakistan,South Asia,2,2,2,2w,2w,2w,2w,2,2,2w,2w,2w,Human trafficking in Pakistan
Palau,Pacific Ocean,2,2,2,2,2,2,2,2,2,2,2w,,Human trafficking in Palau
Panama,Central America,2w,2,2,2w,2,2,2,2,2,2,2,,Human trafficking in Panama
Papua New Guinea,Oceania,3,3,3,3,2w,3,2w,3,3,3,2w,3,Human trafficking in Papua New Guinea
Paraguay,South America,2,2,2,2,2,2,2,2,2,2,2,2,Human trafficking in Paraguay
Peru,South America,2,2,2,2,2,2,2,2,2,2,2,2,Human trafficking in Peru
Philippines,Southeast Asia,2,2,2,2,2,1,1,1,1,1,1,1,Human trafficking in the Philippines
Poland,Central Europe,1,1,1,1,1,1,1,1,2,2,2,2,Human trafficking in Poland
Portugal,Western Europe,1,2,2,2,1,1,1,1,1,1,2,2,Human trafficking in Portugal
Qatar,Western Asia,2w,2,2,2w,2w,2w,2,2,2,2,2,2w,Human trafficking in Qatar
Romania,Central Europe,2,2,2,2,2,2,2,2,2w,2w,2w,2w,Human trafficking in Romania
Russia,Northern Eurasia,2w,2w,3,3,3,3,3,3,3,3,3,3,Human trafficking in Russia
Rwanda,Eastern Africa,2,2,2w,2w,2,2w,2w,2,2,2,2,2,Human trafficking in Rwanda
Saint Lucia,Lesser Antilles,2,2,2w,2,2,2w,2,2,2,2,2,,
Saint Vincentand the Grenadines,Windward Islands,2,2,2,2w,2w,2w,2,2,2,2,2,,Human trafficking inSaint Vincent and the Grenadines
Saudi Arabia,Western Asia,3,3,3,3,2w,2w,2w,2w,3,2w,2,2,Human trafficking in Saudi Arabia
Senegal,Western Africa,2,2w,2,2,2,2w,2w,2w,2,2w,2w,2,Human trafficking in Senegal
Serbia,Central / Southeast Europe,2,2,2,2,2,2w,2w,2,2,2,2,2w,Human trafficking in Serbia
Seychelles,Indian Ocean,2,2w,2w,2,2,2w,2,2w,2,2w,2,1,
Sierra Leone,West Africa,2,2,2,2,2,2,2,2w,2w,2,2,2,Human trafficking in Sierra Leone
Singapore,Southeast Asia,2,2,2,2,2,2,2,2,2,1,1,1,Human trafficking in Singapore
Sint Maarten,Lesser Antilles,-,-,2,2,2,1,1,,2,2,2w,3,
Slovakia,Central Europe,1,1,1,1,1,1,1,1,2,2,2,2,Human trafficking in Slovakia
Slovenia,Central EuropeSoutheast Europe,1,1,1,1,2,1,1,1,1,1,1,2,Human trafficking in Slovenia
Solomon Islands,Oceania,2w,2,2w,2w,2w,2w,2,2,2,2,2,,
South Africa,Southern Africa,2,2,2,2,2,2,2,2w,2w,2,2w,2w,Human trafficking in South Africa
South Sudan,North Africa,-,2w,2w,2w,3,3,3,3,3,3,3,3,
Spain,Western Europe,1,1,1,1,1,1,1,1,1,1,1,,Human trafficking in Spain
Sri Lanka,South Asia,2w,2,2w,2w,2w,2w,2,2,2w,2w,2w,,Human trafficking in Sri Lanka
Sudan,North Africa,3,3,3,2w,2w,3,3,2w,2w,2w,2,2,Human trafficking in Sudan
Suriname,South America,2,2,2w,2w,2w,3,2w,2w,2,2,2,,Human trafficking in Suriname
Sweden,Northern Europe,1,1,1,1,1,1,1,1,1,1,1,,Human trafficking in Sweden
Switzerland,Western Europe,2,2,2,1,1,1,1,1,1,1,2,2,Human trafficking in Switzerland
Syria,Western Asia,2w,3,3,3,3,3,3,3,3,3,3,3,Human trafficking in Syria
Taiwan,Asia,1,1,1,1,1,1,1,1,1,1,1,2,Human trafficking in Taiwan
Tajikistan,Central Asia,2,2,2,2,2,2,2,2w,2,2,2,2,Human trafficking in Tajikistan
Tanzania,East Africa,2w,2,2w,2w,2w,2w,2,2,2w,2w,2w,2,Human trafficking in Tanzania
Thailand,Southeast Asia,2w,2w,2w,3,3,2w,2w,2,2,2,2w,2w,Human trafficking in Thailand
Timor-Leste,Southeast Asia,2,2,2,2w,2w,2,2,2,2,2w,2w,2w,Human trafficking in East Timor
Togo,West Africa,2,2,2,2,2,2,2,2w,2,2,2,2,Human trafficking in Togo
Tonga,South Pacific,2,2,2,2,2,2w,2,2,2,2,2w,,
Trinidad and Tobago,Caribbean Sea,2,2,2w,2,2w,2w,2,2,2,2,2w,,Human trafficking in Trinidad and Tobago
Tunisia,Northern Africa,2w,2,2w,2w,2w,2w,2,2,2,2,2,,Human trafficking in Tunisia
Turkey,Western Asia / Eastern Europe,2,2,2,2,2,2,2,2,2,2,2,,Human trafficking in Turkey
Turkmenistan,Central Asia,3,2w,2w,2w,2w,3,3,3,3,3,3,3,Human trafficking in Turkmenistan
Uganda,East Africa,2,2,2,2,2,2,2,2,2,2w,2w,2,Human trafficking in Uganda
Ukraine,Eastern Europe,2,2,2w,2w,2w,2w,2,2,2,2,2,2w,Human trafficking in Ukraine
United Arab Emirates,Southwest AsiaEastern Europe,2,2,2,2,2,2,2,2,2,2,2,2w,Human traffickingin the United Arab Emirates
United Kingdom,Western Europe,1,1,1,1,1,1,1,1,1,1,1,,Human trafficking in the United Kingdom
United States,North America,1,1,1,1,1,1,1,1,1,1,1,,Human trafficking in the United States
Uruguay,South America,2,2,2w,2w,2,2,2,2,2,2,2,,Human trafficking in Uruguay
Uzbekistan,Central Asia,2w,2w,3,3,2w,3,3,2w,2w,2w,2,2,Human trafficking in Uzbekistan
Vanuatu,South Pacific,-,-,-,-,-,-,-,-,-,2,2,,
Venezuela,South America,3,2w,2w,3,3,3,3,3,3,3,3,3,Human trafficking in Venezuela
Vietnam,Southeast Asia,2w,2,2,2,2,2,2,2,2w,2w,2w,,Human trafficking in Vietnam
Yemen,Western Asia,3,3,3,3,3,,,,,,,,Human trafficking in Yemen
Zambia,Southern Africa,2,2,2,2,2,2,2w,2,2,2w,2w,2,Human trafficking in Zambia
Zimbabwe,Southern Africa,2w,3,3,3,3,3,2w,2w,2,2,2w,2,Human trafficking in Zimbabwe
